SVM_Linear,KNN,LinearDiscriminant,DecisionTree,RandomForest,AdaBoost,SVM_Gauss,LogisticRegression
1.267543602,0.609914364,0.71457017,1,0.383333333,0.688080871,-0.87735787,0.747430485
1.619843586,0.759934339,0.758470536,0.214225117,0.45,0.667737983,-0.221359446,0.768830547
1.590387295,0.730165637,0.751959241,0.066718986,0.316666667,0.370089633,-0.786910946,0.762864052
0.950962499,0.619915192,0.72511567,0.111194154,0.166666667,-0.272863367,-0.843127378,0.740684002
0.706509371,0.660053717,0.645860418,0.93148388,0.55,0.728947886,0.358275997,0.653462878
-0.31177167,0.299924416,0.449025729,0,0.1,-0.203424633,-0.970235146,0.42235311
1.396127155,0.720048259,0.753920951,1,0.433333333,0.43016035,0.727633649,0.76812237
-1.481718906,0.060047424,0.236868594,1,0.166666667,-1.033857144,-0.954143952,0.206665667
-2.405200327,0.040009194,0.09123924,0.054926367,0.066666667,-1.359337471,-0.973767358,0.065103313
-1.359111619,0.119961994,0.160649453,0,0.016666667,-1.603120655,-0.966443195,0.169633516
0.588998977,0.539910587,0.573207904,0.066681564,0.383333333,0.331031314,-0.502017446,0.555171709
-0.585574214,0.239934351,0.247952055,0.015223029,0.083333333,-0.752582289,-0.928118421,0.236854821
0.629179602,0.889964756,0.554558721,0.842246087,0.333333333,0.890059503,-0.274098409,0.535753545
0.054597252,0.289925892,0.540581457,0.096459852,0.05,-0.977113044,-0.882306634,0.587130018
0.661463084,0.839951617,0.557211456,1,0.833333333,0.862181029,1.194144259,0.532554173
0.863589604,0.750044883,0.645150131,0,0.033333333,-0.413471473,-0.462661693,0.621980307
0.312020543,0.420204767,0.519561383,0,0.083333333,-0.30154685,-0.861913425,0.491728525
-0.718516221,0.030024469,0.342581582,0.021269101,0.016666667,-1.856031061,-0.952911033,0.377737548
-0.044061624,0.330052931,0.407577607,0.049982905,0.15,-0.834297959,-0.987390939,0.381200928
0.778346981,0.749932503,0.660058575,0.253680229,0.166666667,0.856415794,-0.842181054,0.669070844
0.49643552,0.539910587,0.565743364,0.062478912,0.1,0.307195717,-0.891226211,0.528037555
-0.453923149,0.149954112,0.495767802,0.034234672,0.05,-0.383701143,-0.977088349,0.49322594
0.833208448,0.799942402,0.657084566,0.967575079,0.2,1.061287507,-0.057256453,0.65850687
0.414895917,0.400201745,0.588804459,0.020400968,0.05,-0.390653557,-0.98456388,0.569539631
-1.186843841,0.379915199,0.212028442,0,0.133333333,-0.644488894,-0.929289251,0.167913316
2.048574421,0.790039712,0.835434913,0.844020415,0.966666667,0.805578425,1.063841195,0.866224225
-0.298727271,0.379915199,0.397502838,0.199942414,0.2,-0.590834856,-0.867733152,0.383524468
0.00211444,0.419912319,0.413146771,1,0.166666667,-0.49945266,-0.840582659,0.407959559
1.248527447,0.579912314,0.708367278,0.838547765,0.416666667,0.805578425,-0.333630048,0.71173309
